OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
https://www.grants.gov/search-results-detail/356957,Atmospheric System Research (ASR),PAMS-SC,posted,11/04/2024,02/27/2025
https://www.grants.gov/search-results-detail/356968,Cooperative Agreement for CESU-affiliated Partner with Rocky Mountain Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356966,Cooperative Agreement for CESU-affiliated Partner with Colorado Plateau Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356916,U.S. Ambassadors Fund for Cultural Preservation Grants Program,DOS-ECA,posted,11/04/2024,04/30/2025
https://www.grants.gov/search-results-detail/356969,Cooperative Agreement for CESU-affiliated Partner with Great Lakes – Northern Forest Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356946,New Family Planning Activity Design,USAID-EGY,forecasted,11/03/2024,
https://www.grants.gov/search-results-detail/356944,Geosciences Open Science Ecosystem,NSF,posted,11/02/2024,02/14/2025
https://www.grants.gov/search-results-detail/356943,Human-Environment and Geographical Sciences Program,NSF,posted,11/02/2024,02/03/2025
https://www.grants.gov/search-results-detail/356939,Advancing Food and Childcare Systems in Rural Georgia: Childcare Access and Nutrition Systems (CANS) Grant Program,SCRC,posted,11/01/2024,11/22/2024
https://www.grants.gov/search-results-detail/356942,2025 HERO Appendix A: NASA Human Research Program Omnibus Opportunity,NASA-JSC,posted,11/01/2024,12/02/2024
https://www.grants.gov/search-results-detail/356941,2025 Human Exploration Research Opportunities (HERO) NOFO,NASA-JSC,posted,11/01/2024,10/31/2025
https://www.grants.gov/search-results-detail/356932,Public Diplomacy Grants Program,DOS-EUR,posted,11/01/2024,05/02/2025
https://www.grants.gov/search-results-detail/356935,CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Basic Research on Chemical Threats that Affect the Nervous System (R01 Clinical Trial Not Allowed),HHS-NIH11,posted,11/01/2024,10/16/2026
https://www.grants.gov/search-results-detail/356934,Facilitated Dialogue: Victim-Offender Dialogue Training for Facilitators,USDOJ-BOP-NIC,posted,11/01/2024,12/20/2024
https://www.grants.gov/search-results-detail/356937,Air Dominance Broad Agency Announcement(BAA),DOD,posted,11/01/2024,10/31/2029
https://www.grants.gov/search-results-detail/356918,U.S. Embassy Tirana PAS Annual Program Statement,DOS-ALB,posted,11/01/2024,09/21/2025
https://www.grants.gov/search-results-detail/356890,FY 2025 National Infrastructure Investments,DOT-DOT X-50,posted,11/01/2024,01/30/2025
https://www.grants.gov/search-results-detail/356930,Sacramento River Valley Habitat & Facility Improvements IRA,DOI-BOR,posted,10/31/2024,02/11/2025
https://www.grants.gov/search-results-detail/356929,DOI - HQ Experienced Services Program,DOI-IBC,posted,10/31/2024,12/02/2024
https://www.grants.gov/search-results-detail/356928,NINDS Sustainable Transformation of Institutional Research Rigor (STIRR) Program (RC2 - Clinical Trial Not Allowed),HHS-NIH11,posted,10/31/2024,10/17/2025
https://www.grants.gov/search-results-detail/356917,Sea Grant Programs Only - FY2025 Establishing and Supporting Partnerships with Minority Serving Institutions (MSIs) in Aquaculture: Regional Collaboratives,DOC-DOCNOAAERA,posted,10/31/2024,03/19/2025
https://www.grants.gov/search-results-detail/356915,USAID Laos Read to Learn Basic Education Activity,USAID-THA,forecasted,10/31/2024,
https://www.grants.gov/search-results-detail/356921,Notice of Intent to Issue Notice of Funding Opportunity (NOFO) DE-FOA-0003490,DOE-NETL,posted,10/31/2024,12/30/2024
https://www.grants.gov/search-results-detail/356920,Dissemination and Implementation Research in Health (R21 Clinical Trial Optional),HHS-NIH11,posted,10/31/2024,01/07/2028
https://www.grants.gov/search-results-detail/356919,Cybersecurity Upskilling Initiative,DOL-ETA,forecasted,10/31/2024,
https://www.grants.gov/search-results-detail/356931,F25AS00039 Rapid Response Fund for Aquatic Invasive Species FY2025,DOI-FWS,posted,10/31/2024,09/30/2025
https://www.grants.gov/search-results-detail/356925,Enhancing Mechanistic Research on Precision Probiotic Therapies (R61/R33 Clinical Trial Optional),HHS-NIH11,posted,10/31/2024,06/02/2027
https://www.grants.gov/search-results-detail/356927,Enhancing Mechanistic Research on Precision Probiotic Therapies (R33 Clinical Trial Optional),HHS-NIH11,posted,10/31/2024,06/02/2027
https://www.grants.gov/search-results-detail/356923,Pilot Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required),HHS-NIH11,posted,10/31/2024,01/07/2028
https://www.grants.gov/search-results-detail/356924,Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required),HHS-NIH11,posted,10/31/2024,01/07/2028
https://www.grants.gov/search-results-detail/356880,"Office of Postsecondary Education (OPE): International Foreign Language Education (IFLE): Fulbright-Hays Doctoral Dissertation Research Abroad (DDRA) Fellowship Program, Assistance Listing Number 84.022A",ED,posted,10/30/2024,01/15/2025
https://www.grants.gov/search-results-detail/356898,USG Exchange Program Logistics and Honorarium,DOS-MOZ,posted,10/30/2024,12/20/2024
https://www.grants.gov/search-results-detail/356901,Information Innovation Office (I2O) Office-Wide,DOD-DARPA-I2O,posted,10/30/2024,10/29/2025
https://www.grants.gov/search-results-detail/356907,Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed),HHS-NIH11,posted,10/30/2024,01/07/2028
https://www.grants.gov/search-results-detail/356908,"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (UH2 Clinical Trial Not Allowed)",HHS-NIH11,posted,10/30/2024,10/23/2025
https://www.grants.gov/search-results-detail/356905,Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),HHS-NIH11,posted,10/30/2024,07/14/2026
https://www.grants.gov/search-results-detail/356910,Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R01 Clinical Trial Optional),HHS-NIH11,posted,10/30/2024,10/20/2025
https://www.grants.gov/search-results-detail/356911,Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R21 Clinical Trial Optional),HHS-NIH11,posted,10/30/2024,10/20/2025
https://www.grants.gov/search-results-detail/356902,Biomedical Research Environment and Sponsored Programs Administration Development (BRE-SPAD) Program (UC2- Clinical Trial Not Allowed),HHS-NIH11,posted,10/30/2024,01/27/2027
https://www.grants.gov/search-results-detail/356922,"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (U01 Clinical Trial Not Allowed)",HHS-NIH11,posted,10/30/2024,10/23/2025
https://www.grants.gov/search-results-detail/356909,Screening and Functional Validation of Genomic Variants Associated with Human Congenital Anomalies (R01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/30/2024,01/07/2028
https://www.grants.gov/search-results-detail/356912,"CHIPS AI/AE for Rapid, Industry-informed Sustainable Semiconductor Materials and Processes (CARISSMA) Competition",DOC-NIST,posted,10/30/2024,01/13/2025
https://www.grants.gov/search-results-detail/356900,Restoring Tribal Priority Fish Passage through Barrier Removal Notice of Funding Opportunity under the Bipartisan Infrastructure Law Round 3,DOC-DOCNOAAERA,posted,10/30/2024,02/27/2025
https://www.grants.gov/search-results-detail/356899,NOAA's Restoring Fish Passage through Barrier Removal Grants Under the Bipartisan Infrastructure Law- Round 3,DOC-DOCNOAAERA,posted,10/30/2024,02/10/2025
https://www.grants.gov/search-results-detail/356913,Ports for the Future Partnerships,DOS-SA,posted,10/30/2024,12/16/2024
https://www.grants.gov/search-results-detail/356881,Foundational Learning,USAID-TAN,posted,10/29/2024,11/19/2024
https://www.grants.gov/search-results-detail/356896,Climate Resilience Centers,PAMS-SC,posted,10/29/2024,02/20/2025
https://www.grants.gov/search-results-detail/356884,Galvanizing Leaps in Advanced Super INsulating Glass (GLASING),DOE-ARPAE,posted,10/29/2024,11/26/2024
https://www.grants.gov/search-results-detail/356882,FY 2025 NIST Small Business Innovation Research Program Phase I,DOC-NIST,posted,10/29/2024,12/27/2024
https://www.grants.gov/search-results-detail/356885,Combatting Trafficking in Persons in Uzbekistan.,DOS-INL,posted,10/29/2024,01/06/2025
https://www.grants.gov/search-results-detail/356894,"USAID Investment, Jobs and Income (IJI)",USAID-HAI,posted,10/29/2024,12/13/2024
https://www.grants.gov/search-results-detail/356904,Clinical Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Natural Products (Collaborative UG3/UH3 Clinical Trial Required),HHS-NIH11,posted,10/29/2024,07/14/2026
https://www.grants.gov/search-results-detail/356903,Translational Neural Devices (R61/R33 - Clinical Trial Optional),HHS-NIH11,posted,10/29/2024,01/28/2027
https://www.grants.gov/search-results-detail/356888,Computational Approaches to Curation at Scale for Biomedical Research Assets (R01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,04/15/2027
https://www.grants.gov/search-results-detail/356887,Limited Competition: Basic Instrumentation Grant (BIG) Program (S10 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,06/01/2027
https://www.grants.gov/search-results-detail/356892,Targeting Inflammasomes in HIV and Substance Use (R21 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,03/13/2025
https://www.grants.gov/search-results-detail/356891,Targeting Inflammasomes in HIV and Substance Use (R01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,03/13/2025
https://www.grants.gov/search-results-detail/356893,Dissemination and Implementation Research in Health (R01 Clinical Trial Optional),HHS-NIH11,posted,10/29/2024,01/07/2028
https://www.grants.gov/search-results-detail/356883,High-End Instrumentation (HEI) Grant Program (S10 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,06/01/2027
https://www.grants.gov/search-results-detail/356886,Shared Instrumentation Grant (SIG) Program (S10 Clinical Trial Not Allowed),HHS-NIH11,posted,10/29/2024,06/01/2027
https://www.grants.gov/search-results-detail/356875,Regional Infrastructure Accelerator Program,DOT-DOT X-50,posted,10/28/2024,01/09/2025
https://www.grants.gov/search-results-detail/356873,Facilitating T1 Translational Aging Research: Preclinical and Early Phase Human Studies (UG3/UH3 Clinical Trial Optional),HHS-NIH11,posted,10/28/2024,01/10/2025
https://www.grants.gov/search-results-detail/356876,FY2025 Farm to School Grant-Turnkey,USDA-FNS1,posted,10/28/2024,01/10/2025
https://www.grants.gov/search-results-detail/356871,Ethiopia Rapid Response Mechanism (RRM),USAID,posted,10/28/2024,
https://www.grants.gov/search-results-detail/356296,"Head Start/Early Head Start Recipient - Multiple Communities in AZ, AR, CA, CO, CT, FL, GA, IL, IN, KS, LA, MD, MA, MI, MN, MS, MT, NJ, NM, NY, NC, OH, OR, PA, PR, SC, SD, TN, TX, VT, VA, WA, WI",HHS-ACF-OHS,posted,10/28/2024,01/06/2025
https://www.grants.gov/search-results-detail/356877,Farm to School Implementation Grant,USDA-FNS1,posted,10/28/2024,01/10/2025
https://www.grants.gov/search-results-detail/356874,Development of Biomarkers or Composite Biomarkers for Neurological and Neuromuscular Disorders (R61/R33 - Clinical Trial Optional),HHS-NIH11,posted,10/28/2024,01/07/2028
https://www.grants.gov/search-results-detail/356879,Pilot Projects Investigating Understudied Proteins Associated with Rare Diseases (R03 Clinical Trial Not Allowed),HHS-NIH11,posted,10/28/2024,11/16/2027
https://www.grants.gov/search-results-detail/356870,Limited Competition: Renewal of Existing NINDS-Supported Clinical Trial Cooperative Agreement Awards (U01 - Clinical Trials Required),HHS-NIH11,posted,10/28/2024,11/05/2027
https://www.grants.gov/search-results-detail/356868,"Advancing Legal Reasoning, Writing, Practice and Professionalism in BiH",DOS-INL,posted,10/28/2024,01/06/2025
https://www.grants.gov/search-results-detail/356869,Nonprofit Security Grant Program National Security Supplemental,DHS-DHS,posted,10/28/2024,01/24/2025
https://www.grants.gov/search-results-detail/356297,"Early Head Start Expansion and Early Head Start-Child Care Partnership Grants - Multiple Communities in GA, LA, MD, MI, NJ, NY, OH, VA, WI",HHS-ACF-OHS,posted,10/28/2024,01/06/2025
https://www.grants.gov/search-results-detail/356872,Innovation Corps (I-Corps) at NIH Program for NIH and CDC Translational Research (Admin Supp Clinical Trial NOT Allowed),HHS-NIH11,posted,10/28/2024,01/31/2025
https://www.grants.gov/search-results-detail/355638,"Centers of Excellence in Maternal and Child Health Education, Science, and Practice",HHS-HRSA,posted,10/28/2024,01/27/2025
https://www.grants.gov/search-results-detail/356878,FY2025 Farm To School Grant State Agency,USDA-FNS1,posted,10/28/2024,01/10/2025
https://www.grants.gov/search-results-detail/356865,"Countering DPRK and Iran’s WMD, UAS, and Missile Proliferation",DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356866,Build Partner Capabilities to Counter the Russian Federation’s Chemical and Biological Threats,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356867,Nonproliferation Scientist Engagement Program,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356861,Building Partner Capacity to Counter Chemical Weapons Threats,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356858,Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356859,Build Partner Capabilities to Counter Global Biological Threats,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356860,Countering Proliferator State Advanced Conventional Weapons Proliferation,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356862,Countering WMD and UAS Threats in Iraq,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356863,Countering the Russian Federation’s Sanctions Evasion Activities,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356864,"Advancing Nuclear Safety, Security, and Nonproliferation through the FIRST Program",DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356857,Build Partner Resilience to Counter Proliferator State Hybrid Threats in the Nonproliferation Arena,DOS-ISN,posted,10/26/2024,01/17/2025
https://www.grants.gov/search-results-detail/356853,Implementation Research for Multi-morbidity Management in the Context of Non-communicable Diseases in Low- and Middle-Income Countries and US Tribal Populations  (R01 Clinical Trial Optional),HHS-NIH11,posted,10/25/2024,01/07/2026
https://www.grants.gov/search-results-detail/356851,The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/25/2024,06/20/2025
https://www.grants.gov/search-results-detail/356850,"Development of Resources and Technologies for Enhancing Rigor, Reproducibility, and Translatability of Animal Models in Biomedical Research (R01 Clinical Trial Not Allowed)",HHS-NIH11,posted,10/25/2024,09/07/2025
https://www.grants.gov/search-results-detail/356842,Celebrating the Contribution of African Food to American Cuisine,DOS-UGA,posted,10/25/2024,11/30/2024
https://www.grants.gov/search-results-detail/356841,"Build and Broaden: Enhancing Social, Behavioral and Economic Science Research and Capacity at Minority-Serving Institutions",NSF,posted,10/25/2024,01/23/2025
https://www.grants.gov/search-results-detail/355635,Maternal and Child Health Public Health Catalyst Program,HHS-HRSA,posted,10/25/2024,01/23/2025
https://www.grants.gov/search-results-detail/356843,Sea Grant Programs Only - FY2025 Aquaculture Internship Programs,DOC-DOCNOAAERA,posted,10/25/2024,01/29/2025
https://www.grants.gov/search-results-detail/356824,"Office of Postsecondary Education (OPE): International Foreign Language Education (IFLE): Fulbright-Hays Group Projects Abroad (GPA) Program—Short-Term Projects, Assistance Listing Number 84.021A",ED,posted,10/25/2024,01/21/2025
https://www.grants.gov/search-results-detail/356825,"Office of Postsecondary Education (OPE): International Foreign Language Education (IFLE): Fulbright-Hays Group Projects Abroad (GPA) Program—Long-Term Projects, Assistance Listing Number 84.021B",ED,posted,10/25/2024,01/21/2025
https://www.grants.gov/search-results-detail/356854,FY 2025 PRM Request for Full Proposals for Nigeria,DOS-PRM,posted,10/25/2024,11/29/2024
https://www.grants.gov/search-results-detail/356840,"Fiscal Years 2024-2026 Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) Program",DOT-FHWA,posted,10/25/2024,02/24/2025
https://www.grants.gov/search-results-detail/356849,Precision Measurement Grant Program,DOC-NIST,posted,10/25/2024,02/03/2025
https://www.grants.gov/search-results-detail/355190,Connecting Organizations and People to Empower Diabetes Prevention and Treatment (Connections),HHS-CDC-HHSCDCERA,posted,10/25/2024,01/06/2025
https://www.grants.gov/search-results-detail/356845,Strengthening Rule of Law and Criminal Defense Services in Georgia,DOS-INL,posted,10/25/2024,12/13/2024
https://www.grants.gov/search-results-detail/356852,Implementation Research for Multi-morbidity Management in the Context of Non-communicable Diseases in Low- and Middle-Income Countries and US Tribal Populations  (R61/R33 Clinical Trial Required),HHS-NIH11,posted,10/25/2024,01/07/2026
https://www.grants.gov/search-results-detail/356855,Bipartisan Infrastructure Law – San Francisco Bay Water Quality Improvement Fund,EPA,posted,10/25/2024,04/17/2025
https://www.grants.gov/search-results-detail/356856,Build Partner Capabilities to Protect Semiconductor and CHIPS Technology,DOS-ISN,posted,10/25/2024,01/17/2025
https://www.grants.gov/search-results-detail/356848,CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Translational Exploratory/Developmental Research Projects (R21 Clinical Trial Not Allowed),HHS-NIH11,posted,10/24/2024,05/30/2025
https://www.grants.gov/search-results-detail/356826,"U.S. Consulate General Hong Kong and Macau, PAS Annual Program Statement",DOS-CHN,posted,10/24/2024,05/16/2025
https://www.grants.gov/search-results-detail/356835,Quantum Computing for Computational Chemistry SBIR/STTR (QC3 SBIR/STTR),DOE-ARPAE,posted,10/24/2024,11/21/2024
https://www.grants.gov/search-results-detail/356827,Strengthening Malaria Control for High-Risk Communities,USAID-THA,posted,10/24/2024,12/06/2024
https://www.grants.gov/search-results-detail/356830,Notice of Intent to Publish a Funding Opportunity Announcement for NINR Resources and Related Research Projects in Firearm Injury Prevention (R24 Clinical Trial Not Allowed),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356832,Notice of Intent to Publish a Notice of Funding Opportunity (NOFO) for High-Priority Research in Tobacco Regulatory Science (R01 Clinical Trial Optional),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356581,2025 Community Wood Energy and Wood Innovation Program,USDA-FS,posted,10/24/2024,12/18/2024
https://www.grants.gov/search-results-detail/356172,Wood Utilization Assistance,USDA-FS,posted,10/24/2024,12/11/2024
https://www.grants.gov/search-results-detail/356837,Request for Information – University Partnership Models,DOD-AMC,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356238,2025 Wood Products Infrastructure Assistance Program,USDA-FS,posted,10/24/2024,12/18/2024
https://www.grants.gov/search-results-detail/356838,Rural Energy for America Program,USDA-RBCS,posted,10/24/2024,03/31/2025
https://www.grants.gov/search-results-detail/356836,Quantum Computing for Computational Chemistry (QC3),DOE-ARPAE,posted,10/24/2024,11/21/2024
https://www.grants.gov/search-results-detail/356833,Notice of Intent to Publish a Funding Opportunity Announcement for Complement-ARIE New Approach Methodologies (NAMs) Data Hub and Coordinating Center (U24 Clinical Trial Optional),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356834,Notice of Intent to Publish a Funding Opportunity Announcement for CCRP Initiative: Countermeasures Against Chemical Threats (CounterACT) Therapeutics Discovery and Early-Stage Development (UG3/UH3 Clinical Trial Not Allowed),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356829,"Notice of Intent to Publish a Funding Opportunity Announcement for New Institutional Training Programs for Aging Research (T32, Clinical Trial Not Allowed)",HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356828,Notice of Intent to Publish a Funding Opportunity Announcement for Accelerating the Pace of Substance Use Research Using Existing Data (R01 Clinical Trial Not Allowed),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356831,Notice of Intent to Publish a Funding Opportunity Announcement for Accelerating the Pace of Substance Use Research Using Existing Data (R21 Clinical Trial Not Allowed),HHS-NIH11,forecasted,10/24/2024,
https://www.grants.gov/search-results-detail/356805,National Animal Disease Preparedness and Response Program Fiscal Year 2025 Tribal Funding Opportunity Announcement,USDA-APHIS,posted,10/23/2024,01/24/2025
https://www.grants.gov/search-results-detail/356810,Advanced Hydrogen and Fuel Cell Technologies to Drive National Goals,DOE-GFO,posted,10/23/2024,01/31/2025
https://www.grants.gov/search-results-detail/352640,Landmarks of American History and Culture,NEH,posted,10/23/2024,02/12/2025
https://www.grants.gov/search-results-detail/356807,Organismal Response to Climate Change,NSF,posted,10/23/2024,01/23/2025
https://www.grants.gov/search-results-detail/356809,U.S. Mission Sweden PDS Annual Program Statement,DOS-SWE,posted,10/23/2024,07/31/2025
https://www.grants.gov/search-results-detail/356812,Pilot projects to enhance utility and usage of data sets from the Molecular Transducers of Physical Activity Consortium (MoTrPAC) (R03 Clinical Trials Not allowed),HHS-NIH11,posted,10/23/2024,12/26/2024
https://www.grants.gov/search-results-detail/356816,2025 NOAA Hawaii Bay Watershed Education and Training (B-WET) program,DOC-DOCNOAAERA,posted,10/23/2024,01/31/2025
https://www.grants.gov/search-results-detail/356124,Community Forest and Open Space Conservation Program,USDA-FS,posted,10/23/2024,01/13/2025
https://www.grants.gov/search-results-detail/356813,Centers for Accelerating Phage (Bacteriophage) Therapy to Combat ESKAPE Pathogens (CAPT-CEP) (P01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/23/2024,01/28/2025
https://www.grants.gov/search-results-detail/356815,"NIDCR Drug, Biologic, Device and/or Procedure Intervention Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required)",HHS-NIH11,posted,10/23/2024,01/06/2028
https://www.grants.gov/search-results-detail/356814,Human Virome Program: Developing novel and innovative tools to interrogate and annotate the human virome (U01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/23/2024,02/27/2025
https://www.grants.gov/search-results-detail/356811,BRAIN Initiative: Brain Behavior Quantification and Synchronization- Next Generation Sensor Technology Development (U01 Clinical Trial Optional),HHS-NIH11,posted,10/23/2024,06/15/2027
https://www.grants.gov/search-results-detail/356821,Young Faculty Award (YFA) 2025,DOD-DARPA-DSO,posted,10/23/2024,02/05/2025
https://www.grants.gov/search-results-detail/356820,OIA Technical Assistance Program 2025,DOI,posted,10/23/2024,03/12/2025
https://www.grants.gov/search-results-detail/356823,OIA Coral Reef and Natural Resources Program 2025,DOI,posted,10/23/2024,03/12/2025
https://www.grants.gov/search-results-detail/356822,OIA Maintenance Assistance Program 2025,DOI,posted,10/23/2024,03/12/2025
https://www.grants.gov/search-results-detail/355772,Behavioral Health Workforce Education and Training Program for Professionals,HHS-HRSA,posted,10/22/2024,01/21/2025
https://www.grants.gov/search-results-detail/355771,Graduate Psychology Education Program (GPE),HHS-HRSA,posted,10/22/2024,01/21/2025
