file_name,document_id,field_name,field_value
2015 - 8R-Series-Product-Brochure .pdf,12,8RT,"{""ENGINE"": {""Aspiration"": ""Dual series turbocharger with fixed geometry first stage, variable geometry second stage; air-to-air aftercooling and cooled exhaust gas recirculation"", ""Description"": ""John Deere PowerTech\u2122 PSS 9.0 L Diesel, in-line, 6-cylinder, wet-sleeve with 4 valve-in-head"", ""Filter, oil"": ""Replaceable cartridge-style oil filter"", ""Lubrication"": ""Full-pressure, full-flow filtration with bypass"", ""Rated speed"": ""2,100 rpm"", ""Displacement"": ""549 cu. in. (9.0 L)"", ""Bore and stroke"": ""4.66 in. (118 mm) x 5.35 in. (136 mm)"", ""Compression ratio"": ""16.0:1"", ""Filter, engine air"": ""Dual-stage with engine cooling fan aspiration""}, ""STEERING"": {""ActiveCommand Steering"": ""Optional"", ""Hydraulic power steering"": ""Standard""}, ""CONNECTIONS"": {""JDLink\u2122"": ""Available JDLink\u2122 Select & Ultimate and Ethernet harnesses"", ""AutoTrac\u2122 Ready"": ""Standard"", ""ServiceADVISOR\u2122 Remote"": ""Requires activated JDLink service"", ""CommandCenter\u2122 Display video with 4600 Processor"": ""Video capable; four video inputs (Tyco Connector PN 776536-1) for camera with PAL or NTSC signal (camera and extension harness available through John Deere Parts)""}, ""FUEL SYSTEM"": {""Description"": ""Electronically controlled, high-pressure common-rail with electric fuel transfer pump (self priming)"", ""Filter system"": ""Two-stage with water separator and service-indicator light"", ""Filter, primary"": ""10 micron spin-on element with water indication sensor and drain"", ""DEF tank capacity"": ""6 U.S. gal (23L)"", ""Filter, secondary"": ""2 micron spin-on element"", ""Fuel-tank capacity"": ""170.4 gal (645L) with Group 47/48 tires 181.2 gal (686L) with Group 49 tires"", ""Required fuel type"": ""Ultralow sulfur diesel (B20 diesel compatible)""}, ""ELECTRICAL SYSTEM"": {""Description"": ""Two batteries in parallel"", ""Alternator/battery"": ""Available: 200 amps/12 Volt"", ""Total cold-cranking amps"": ""1850 (2-925CCA grp 31 batteries)""}, ""INTEGRATED TECHNOLOGY"": {""JDLink Connect"": ""Standard on every 8R/8RT Series Tractor with activation for machine location, hours, and more."", ""Wireless Data Transfer"": ""Easily share data with trusted advisors and send files wirelessly."", ""GreenStar 3 2630 Display"": ""Comes ready with parallel tracking, field documentation, and more."", ""Remote Display Access"": ""View operator's screen remotely to resolve issues quickly."", ""Service ADvisOR Remote"": ""Allows dealer to ensure equipment is running at peak performance.""}, ""COMMANDCENTER"": {""4600 CommandCenter Display"": ""Primary user interface for 8R/8RT Tractors, ISOBUS VT capable."", ""Features"": ""Control and adjust hydraulic settings, hitch settings, transmission settings, and more.""}, ""COMFORT AND CONVENIENCE"": {""CommandView III Cab"": ""Quiet with laminated glass and front console barrier."", ""CommandARM"": ""Ergonomic control of key tractor functions."", ""ActiveCommand Steering"": ""Reduces steering effort and enhances control.""}, ""SUSPENSION SYSTEMS"": {""AirCushion Suspension System"": ""Isolates chassis from harsh inputs, fully automatic."", ""Independent Link Suspension"": ""Delivers superior ride quality and power to the ground.""}, ""TIRES AND AXLES"": {""Tire Options"": ""Wide selection for various applications, including Group 49s."", ""Axle Choices"": ""MFWD or ILS with duals for added capacity.""}}"
2015 - 8R-Series-Product-Brochure .pdf,14,8R_8RT_Series,"{""Description"": ""245- to 370-Horsepower Tractors"", ""Manufacturer"": ""JOHN DEERE"", ""FACTORY-INSTALLED OPTIONS"": {""Axles and hitches"": ""Match capabilities to application and needs"", ""Hydraulic and tire options"": ""Customize and equip tractor"", ""AutoTrac guidance"": ""Boost productivity and efficiency""}, ""IMPLEMENT VERSATILITY AND COMPATIBILITY"": {""Hydraulics and SCVs"": ""Heavy-duty system with reserve capacity"", ""Rear Hitch and Drawbar"": ""Optional Category 4N/3 hitch with 20,000-pound lift capacity"", ""PTO"": ""Standard 45-mm (1-3/4-in.), 1000-rpm PTO""}, ""PROTECTION PLAN"": {""PowerGard Maintenance Plan"": ""Scheduled maintenance with flexible programs"", ""PowerGard Protection Plan"": ""Extended coverage and warranty"", ""JDLink Information-Management System"": ""Standard with one-year free service""}}"
2015 - 8R-Series-Product-Brochure .pdf,15,8RT_Series,"{""Description"": ""8RT SERIES TRACK TRACTORS Document Chunks: 1 - Rated engine hp (ISO) per 97/68/EC. 2 - Rear PTO at 2,100 engine RPM.""}"
2015 - 8R-Series-Product-Brochure .pdf,13,"8RT SERIES, COMMON SPECIFICATIONS","{""ENGINE"": {""Aspiration"": ""Dual series turbocharger with fixed geometry first stage, variable geometry second stage; air-to-air aftercooling and cooled exhaust gas recirculation"", ""Description"": ""John Deere PowerTech\u2122 PSS 9.0 L Diesel, in-line, 6-cylinder, wet-sleeve with 4 valve-in-head"", ""Filter, oil"": ""Replaceable cartridge-style oil filter"", ""Lubrication"": ""Full-pressure, full-flow filtration with bypass"", ""Rated speed"": ""2,100 rpm"", ""Displacement"": ""549 cu. in. (9.0 L)"", ""Bore and stroke"": ""4.66 in. (118 mm) x 5.35 in. (136 mm)"", ""Compression ratio"": ""16.0:1"", ""Filter, engine air"": ""Dual-stage with engine cooling fan aspiration""}, ""STEERING"": {""Speed-sensitive, hydrostatic, differential"": ""Standard""}, ""CONNECTIONS"": {""JDLink\u2122"": ""Available JDLink\u2122 Select & Ultimate and Ethernet harnesses"", ""AutoTrac\u2122 Ready"": ""Standard"", ""ServiceADVISOR\u2122 Remote"": ""Requires activated JDLink service"", ""CommandCenter\u2122 Display video with 4600 Processor"": ""Video capable; four video inputs (Tyco Connector PN 776536-1) for camera with PAL or NTSC signal (camera and extension harness available through John Deere Parts)""}, ""FUEL SYSTEM"": {""Description"": ""Electronically controlled, high-pressure common-rail with electric fuel transfer pump (self priming)"", ""Filter system"": ""Two-stage with water separator and service-indicator light"", ""Filter, primary"": ""10 micron spin-on element with water indication sensor and drain"", ""DEF tank capacity"": ""6.7 U.S. gal (25.3L)"", ""Filter, secondary"": ""2 micron spin-on element"", ""Fuel-tank capacity"": ""200 U.S. gal (758 L)"", ""Required fuel type"": ""Ultralow sulfur diesel (B20 diesel compatible)""}, ""ELECTRICAL SYSTEM"": {""Description"": ""Two batteries in parallel"", ""Alternator/battery"": ""Standard 200 amps/12 Volt"", ""Total cold-cranking amps"": ""1850""}}"
2015 - 8R-Series-Product-Brochure .pdf,16,8R_Series,"{""Description"": ""8R Series Tractors Right on track The 8RT Series Track Tractors are not just a tracked version of a row-crop tractor - they have an impressive number of smart features that set them apart. Like a hitch-lift. capacity of up to 20,000 pounds (9702 kg), a massive. undercarriage and the longest footprint of any tractor in its class. The exclusive AirCushion\"" Suspension System.. And the JDLink\"" information-management system. plus integrated GreenStar\"" guidance."", ""LOADER, FRONT HITCH AND PTO VERSATILITY"": {""H480 Loader"": ""Connect to 8R Series Tractor for versatility"", ""Integrated front hitch and PTO"": ""Increase productivity with quick changeovers"", ""Front hitch lift capacity"": ""5200 kg (11,450 Ib)""}}"
2015 - 8R-Series-Product-Brochure .pdf,17,8RT_Series_Track_Tractors,"{""Description"": ""8RT Series Track Tractors NDEERE Document Chunks: Not just for show CommandView\"" III cab Not just for show Designed to keep you comfortable and productive,. this cab has it all-from laminated glass and a front console barrier for less noise intrusion to an intuitive. CommandARM\"", with the bigger, brighter and LED Light option easy-to-use Generation 4 CommandCenter Display. Light up the night with the new LED lighting There's also an integrated refrigerator option. package. Compared to the HID lights, the new LED's have a longer life expectancy, 40% more. coverage and utilizes 45% less amperage.. Integrated technology Every 8R/8RT Series Tractor is AutoTracM Ready and JDLink\"" enabled which means 245 to 370 Engine hp* you can improve efficiency and receive The 8R/8RT Series Tractors combine world-class. support from your dealer on-the-go. efficiency with increased horsepower to push productivity to higher levels than ever before. Intelligent Power Management, or IPM provides a horsepower increase during PTO and transport. applications of up to 35 horsepower for full PTO power and speed. Couple that with the increased hydraulic capacity and these tractors can handle large planters and implements with ease. *Rated engine hp (ISO) per 97/68/EC. OHNDEERE 8370R e23\"" PowerShift Transmission with Efficiency Manager\"". The 8R/8RT Series Tractors feature the new e23\"" PowerShift Transmission with Efficiency Manager\"". With the widest gear selection on the market and automation capabilities, you can improve machine efficiency and operator productivity.""}"
2015 - 8R-Series-Product-Brochure .pdf,18,8R_Series_Tractors,"{""Description"": ""Dusk'til done The integrated technology of the 8R/8RT. Series along with the optional LED lighting. package help keep you productive as your day turns into night. Field Cruise\"" maintains a constant engine rpm as the load on the tractor varies, which is especially useful. when you put in long hours on critical operations, such as planting. It also. helps save fuel by keeping the speed at a lower level. The optional premium lighting package. features LED lights that provide industry leading performance and 360-degree coverage for maximum nighttime visibility LED bulbs provide maximum brightness and a true color output for excellent field definition that is easy on the eyes. They also provide 40-percent greater coverage width and 10-percent more light coverage in the rear. The LED lights also use 45-percent less amps than standard halogen lights and have an increased life expectancy over HiD lights which leads to lower costs of ownership over the life of the tractor.""}"
2016 239984-fendt1000vario-1802-en.pdf,19,Fendt Care Packages,"{""Bronze"": {""Coverage"": ""Regular maintenance, fixed maintenance costs"", ""Machine type"": ""All"", ""Regular maintenance"": ""V"", ""Excess"": null, ""Travel Rates"": null, ""Recovery and towing"": null, ""Vehicle diagnostics"": null, ""Fitting of exhaust brake"": null, ""Oil, filters for engine and gearbox repair"": null, ""After hours and weekend surcharge"": null, ""Replacement machine"": null}, ""Silver"": {""Coverage"": ""Cover against repair risk (except wear and tear)"", ""Machine type"": ""All"", ""Regular maintenance"": null, ""Excess"": ""Optional excess: 0 190490"", ""Travel Rates"": null, ""Recovery and towing"": null, ""Vehicle diagnostics"": null, ""Fitting of exhaust brake"": null, ""Oil, filters for engine and gearbox repair"": null, ""After hours and weekend surcharge"": null, ""Replacement machine"": null}, ""Platinum"": {""Coverage"": ""Covers all costs and guarantees availability (except wear and tear)"", ""Machine type"": ""Wheeled tractors"", ""Regular maintenance"": null, ""Excess"": ""0"", ""Travel Rates"": null, ""Recovery and towing"": null, ""Vehicle diagnostics"": null, ""Fitting of exhaust brake"": null, ""Oil, filters for engine and gearbox repair"": null, ""After hours and weekend surcharge"": null, ""Replacement machine"": null}}"
2016 239984-fendt1000vario-1802-en.pdf,20,Fendt 1000 Vario,"{""Profi"": {""4WD"": {""Rear / front differential with 100% disc locking and steering angle sensors"": ""\n""}, ""PTO"": {""External controls for rear PTO"": ""\n"", ""Rear: Flanged PTO 1,000/1.000E/1,300 rpm"": ""\n""}, ""Chassis"": {""Grip Assistant"": ""\n"", ""Electro-pneumatic handbrake"": ""\n"", ""FSC Fendt Stability Control"": ""\n"", ""Single wheel suspension front axle"": ""\n"", ""Automatic trailer steering axle lock"": ""\n"", ""VarioGrip tyre pressure regulation system"": ""\n"", ""Electro-pneumatic handbrake (handbrake assist)"": ""\n"", ""Pneumatic high-speed dual-circuit braking system 1 pedal"": ""\n""}, ""Hydraulics"": {""Return rear"": ""\n"", ""Bio hydraulic oil"": ""\n"", ""Unpressurised rear return flow"": ""\n"", ""Hydraulic power beyond connection"": ""\n"", ""FFC flat-gasket rear hydraulic couplings"": ""\n"", ""Double connect-under-pressure lever couplings rear"": ""\n"", ""External control for hydraulic control unit at rear"": ""\n"", ""Load sensing system with axial piston pump (165 l/min)"": ""\n"", ""Load sensing system with axial piston pump (220 l/min)"": ""\n"", ""Load sensing system with 2 axial piston pumps (220+210 l/min)"": ""\n""}, ""Power lift"": {""Clearance, position control"": ""\n"", ""Lower link tail arrester cat. 4"": ""\n"", ""Tractive power and stepless mixed control"": ""\n"", ""Sa front power lift, with external control (separate valve)"": ""\n"", ""Electrohydraulic power lift da (EHR), with external controls"": ""\n"", ""Comfort front power lift da, with position control, external controls"": ""\n""}, ""Additional equipment"": {""Hitch"": ""\n"", ""Drawbar"": ""\n"", ""Piton-fix"": ""\n"", ""ABS trailer sockets"": ""\n"", ""Wide vehicle marker"": ""\n"", ""Wheel weights, rear wheels"": ""\n"", ""Ball coupling, height adjustable"": ""\n"", ""Forced steering (one or two-sided)"": ""\n"", ""Ball coupling, long, in the bottom hitch"": ""\n"", ""Ball coupling, short, in the bottom hitch"": ""\n"", ""Automatic trailer hitch with remote control, rear"": ""\n"", ""Comfort ballast for front-end weight (not available with front power lift)"": ""\n""}}, ""PowerPlus"": {""4WD"": {""Rear / front differential with 100% disc locking and steering angle sensors"": ""\n""}, ""PTO"": {""External controls for rear PTO"": ""\n"", ""Rear: Flanged PTO 1,000/1.000E/1,300 rpm"": ""\n""}, ""Chassis"": {""Grip Assistant"": ""\n"", ""Electro-pneumatic handbrake"": ""\n"", ""FSC Fendt Stability Control"": ""\n"", ""Single wheel suspension front axle"": ""\n"", ""Automatic trailer steering axle lock"": ""\n"", ""VarioGrip tyre pressure regulation system"": ""\n"", ""Electro-pneumatic handbrake (handbrake assist)"": ""\n"", ""Pneumatic high-speed dual-circuit braking system 1 pedal"": ""\n""}, ""Hydraulics"": {""Return rear"": ""\n"", ""Bio hydraulic oil"": ""\n"", ""Unpressurised rear return flow"": ""\n"", ""Hydraulic power beyond connection"": ""\n"", ""FFC flat-gasket rear hydraulic couplings"": ""\n"", ""Double connect-under-pressure lever couplings rear"": ""\n"", ""External control for hydraulic control unit at rear"": ""\n"", ""Load sensing system with axial piston pump (165 l/min)"": ""\n"", ""Load sensing system with axial piston pump (220 l/min)"": ""\n"", ""Load sensing system with 2 axial piston pumps (220+210 l/min)"": ""\n""}, ""Power lift"": {""Clearance, position control"": ""\n"", ""Lower link tail arrester cat. 4"": ""\n"", ""Tractive power and stepless mixed control"": ""\n"", ""Sa front power lift, with external control (separate valve)"": ""\n"", ""Electrohydraulic power lift da (EHR), with external controls"": ""\n"", ""Comfort front power lift da, with position control, external controls"": ""\n""}, ""Additional equipment"": {""Hitch"": ""\n"", ""Drawbar"": ""\n"", ""Piton-fix"": ""\n"", ""ABS trailer sockets"": ""\n"", ""Wide vehicle marker"": ""\n"", ""Wheel weights, rear wheels"": ""\n"", ""Ball coupling, height adjustable"": ""\n"", ""Forced steering (one or two-sided)"": ""\n"", ""Ball coupling, long, in the bottom hitch"": ""\n"", ""Ball coupling, short, in the bottom hitch"": ""\n"", ""Automatic trailer hitch with remote control, rear"": ""\n"", ""Comfort ballast for front-end weight (not available with front power lift)"": ""\n""}}, ""ProfiPlus"": {""4WD"": {""Rear / front differential with 100% disc locking and steering angle sensors"": ""\n""}, ""PTO"": {""External controls for rear PTO"": ""\n"", ""Rear: Flanged PTO 1,000/1.000E/1,300 rpm"": ""\n""}, ""Chassis"": {""Grip Assistant"": ""\n"", ""Electro-pneumatic handbrake"": ""\n"", ""FSC Fendt Stability Control"": ""\n"", ""Single wheel suspension front axle"": ""\n"", ""Automatic trailer steering axle lock"": ""\n"", ""VarioGrip tyre pressure regulation system"": ""\n"", ""Electro-pneumatic handbrake (handbrake assist)"": ""\n"", ""Pneumatic high-speed dual-circuit braking system 1 pedal"": ""\n""}, ""Hydraulics"": {""Return rear"": ""\n"", ""Bio hydraulic oil"": ""\n"", ""Unpressurised rear return flow"": ""\n"", ""Hydraulic power beyond connection"": ""\n"", ""FFC flat-gasket rear hydraulic couplings"": ""\n"", ""Double connect-under-pressure lever couplings rear"": ""\n"", ""External control for hydraulic control unit at rear"": ""\n"", ""Load sensing system with axial piston pump (165 l/min)"": ""\n"", ""Load sensing system with axial piston pump (220 l/min)"": ""\n"", ""Load sensing system with 2 axial piston pumps (220+210 l/min)"": ""\n""}, ""Power lift"": {""Clearance, position control"": ""\n"", ""Lower link tail arrester cat. 4"": ""\n"", ""Tractive power and stepless mixed control"": ""\n"", ""Sa front power lift, with external control (separate valve)"": ""\n"", ""Electrohydraulic power lift da (EHR), with external controls"": ""\n"", ""Comfort front power lift da, with position control, external controls"": ""\n""}, ""Additional equipment"": {""Hitch"": ""\n"", ""Drawbar"": ""\n"", ""Piton-fix"": ""\n"", ""ABS trailer sockets"": ""\n"", ""Wide vehicle marker"": ""\n"", ""Wheel weights, rear wheels"": ""\n"", ""Ball coupling, height adjustable"": ""\n"", ""Forced steering (one or two-sided)"": ""\n"", ""Ball coupling, long, in the bottom hitch"": ""\n"", ""Ball coupling, short, in the bottom hitch"": ""\n"", ""Automatic trailer hitch with remote control, rear"": ""\n"", ""Comfort ballast for front-end weight (not available with front power lift)"": ""\n""}}, ""1038 Vario"": {""Tyres"": {""Standard tyres"": ""710/75R42"", ""1. Optional rear tyres"": ""750/75R46"", ""Front tyres (standard)"": ""650/65R34"", ""1. Optional front tyres"": ""650/65R38""}, ""Engine"": {""Fuel level"": ""800.0"", ""AdBlue tank"": ""85.0"", ""Rated speed"": ""1700"", ""Torque rise"": ""17.0"", ""Cubic capacity"": ""12419"", ""No. of cylinders"": ""6"", ""Constant power range"": ""1500 - 1700"", ""Cylinder bore/stroke"": ""126/166"", ""Rated power ECE R 120"": ""291/396"", ""Maximum power ECE R 120"": ""291/396"", ""Max. torque at 1100-1500 rpm"": ""1910"", ""Constant power ECE R 120 from 1500 rpm to 1700 rpm"": ""291/396""}, ""Weights"": {""Max. trailer hitch load"": ""2000.0"", ""Max. permissible overall weight up to 60km/h"": ""18000.0"", ""Unladen weight (base tractor with cab - full tanks, without driver)"": ""14000.0"", ""Max. permissible overall weight up to 40 km/h country-specific exception approval required"": ""23000.0"", ""Max. permissible overall weight up to 50 km/h country-specific exception approval required"": ""23000.0""}, ""Dimensions"": {""Wheelbase"": ""3300"", ""Overall length"": ""6350"", ""Max. ground clearance"": ""600"", ""Overall width with standard tyres"": ""2750"", ""Rear track width (standard tyres)"": ""2000"", ""Front track width (standard tyres)"": ""2100"", ""Overall cab height with standard tyres with VarioGuide"": ""3650"", ""Overall cab height with standard tyres without VarioGuide"": ""3470""}, ""Transmission and PTO"": {""Top speed"": ""60"", ""Rear PTO optional"": ""1000/1000E/1300"", ""Transmission type"": ""TA 400"", ""Speed range forward"": ""0,02-60"", ""Speed range reverse"": ""0,02-33""}, ""Power lift and hydraulics"": {""Variable flow pump"": ""165"", ""Variable flow pump option 1"": ""220"", ""Variable flow pump option 2"": ""220+210"", ""Max. available hydraulic oil volume"": ""100"", ""Working pressure / control pressure"": ""200"", ""Max. lift capacity of rear power lift"": ""12920"", ""Max. lift capacity of front power lift"": ""5584"", ""Max. valves (front/centre/rear) Power Plus"": ""1/0/6"", ""Max. valves (front/centre/rear) Profi / Profi Plus"": ""1/0/6""}}, ""1042 Vario"": {""Tyres"": {""Standard tyres"": ""710/75R42"", ""1. Optional rear tyres"": ""750/75R46"", ""Front tyres (standard)"": ""650/65R34"", ""1. Optional front tyres"": ""650/65R38""}, ""Engine"": {""Fuel level"": ""800.0"", ""AdBlue tank"": ""85.0"", ""Rated speed"": ""1700"", ""Torque rise"": ""17.0"", ""Cubic capacity"": ""12419"", ""No. of cylinders"": ""6"", ""Constant power range"": ""1500 - 1700"", ""Cylinder bore/stroke"": ""126/166"", ""Rated power ECE R 120"": ""320/435"", ""Maximum power ECE R 120"": ""320/435"", ""Max. torque at 1100-1500 rpm"": ""2100"", ""Constant power ECE R 120 from 1500 rpm to 1700 rpm"": ""320/435""}, ""Weights"": {""Max. trailer hitch load"": ""2000.0"", ""Max. permissible overall weight up to 60km/h"": ""18000.0"", ""Unladen weight (base tractor with cab - full tanks, without driver)"": ""14000.0"", ""Max. permissible overall weight up to 40 km/h country-specific exception approval required"": ""23000.0"", ""Max. permissible overall weight up to 50 km/h country-specific exception approval required"": ""23000.0""}, ""Dimensions"": {""Wheelbase"": ""3300"", ""Overall length"": ""6350"", ""Max. ground clearance"": ""600"", ""Overall width with standard tyres"": ""2750"", ""Rear track width (standard tyres)"": ""2000"", ""Front track width (standard tyres)"": ""2100"", ""Overall cab height with standard tyres with VarioGuide"": ""3650"", ""Overall cab height with standard tyres without VarioGuide"": ""3470""}, ""Transmission and PTO"": {""Top speed"": ""60"", ""Rear PTO optional"": ""1000/1000E/1300"", ""Transmission type"": ""TA 400"", ""Speed range forward"": ""0,02-60"", ""Speed range reverse"": ""0,02-33""}, ""Power lift and hydraulics"": {""Variable flow pump"": ""165"", ""Variable flow pump option 1"": ""220"", ""Variable flow pump option 2"": ""220+210"", ""Max. available hydraulic oil volume"": ""100"", ""Working pressure / control pressure"": ""200"", ""Max. lift capacity of rear power lift"": ""12920"", ""Max. lift capacity of front power lift"": ""5584"", ""Max. valves (front/centre/rear) Power Plus"": ""1/0/6"", ""Max. valves (front/centre/rear) Profi / Profi Plus"": ""1/0/6""}}, ""1046 Vario"": {""Tyres"": {""Standard tyres"": ""710/75R42"", ""1. Optional rear tyres"": ""750/75R46"", ""Front tyres (standard)"": ""650/65R34"", ""1. Optional front tyres"": ""650/65R38""}, ""Engine"": {""Fuel level"": ""800.0"", ""AdBlue tank"": ""85.0"", ""Rated speed"": ""1700"", ""Torque rise"": ""13.0"", ""Cubic capacity"": ""12419"", ""No. of cylinders"": ""6"", ""Constant power range"": ""1500 - 1700"", ""Cylinder bore/stroke"": ""126/166"", ""Rated power ECE R 120"": ""350/476"", ""Maximum power ECE R 120"": ""350/476"", ""Max. torque at 1100-1500 rpm"": ""2300"", ""Constant power ECE R 120 from 1500 rpm to 1700 rpm"": ""350/476""}, ""Weights"": {""Max. trailer hitch load"": ""2000.0"", ""Max. permissible overall weight up to 60km/h"": ""18000.0"", ""Unladen weight (base tractor with cab - full tanks, without driver)"": ""14000.0"", ""Max. permissible overall weight up to 40 km/h country-specific exception approval required"": ""23000.0"", ""Max. permissible overall weight up to 50 km/h country-specific exception approval required"": ""23000.0""}, ""Dimensions"": {""Wheelbase"": ""3300"", ""Overall length"": ""6350"", ""Max. ground clearance"": ""600"", ""Overall width with standard tyres"": ""2750"", ""Rear track width (standard tyres)"": ""2000"", ""Front track width (standard tyres)"": ""2100"", ""Overall cab height with standard tyres with VarioGuide"": ""3650"", ""Overall cab height with standard tyres without VarioGuide"": ""3470""}, ""Transmission and PTO"": {""Top speed"": ""60"", ""Rear PTO optional"": ""1000/1000E/1300"", ""Transmission type"": ""TA 400"", ""Speed range forward"": ""0,02-60"", ""Speed range reverse"": ""0,02-33""}, ""Power lift and hydraulics"": {""Variable flow pump"": ""165"", ""Variable flow pump option 1"": ""220"", ""Variable flow pump option 2"": ""220+210"", ""Max. available hydraulic oil volume"": ""100"", ""Working pressure / control pressure"": ""200"", ""Max. lift capacity of rear power lift"": ""12920"", ""Max. lift capacity of front power lift"": ""5584"", ""Max. valves (front/centre/rear) Power Plus"": ""1/0/6"", ""Max. valves (front/centre/rear) Profi / Profi Plus"": ""1/0/6""}}, ""1050 Vario"": {""Tyres"": {""Standard tyres"": ""710/75R42"", ""1. Optional rear tyres"": ""750/75R46"", ""Front tyres (standard)"": ""650/65R34"", ""1. Optional front tyres"": ""650/65R38""}, ""Engine"": {""Fuel level"": ""800.0"", ""AdBlue tank"": ""85.0"", ""Rated speed"": ""1700"", ""Torque rise"": ""13.0"", ""Cubic capacity"": ""12419"", ""No. of cylinders"": ""6"", ""Constant power range"": ""1500 - 1700"", ""Cylinder bore/stroke"": ""126/166"", ""Rated power ECE R 120"": ""380/517"", ""Maximum power ECE R 120"": ""380/517"", ""Max. torque at 1100-1500 rpm"": ""2400"", ""Constant power ECE R 120 from 1500 rpm to 1700 rpm"": ""380/517""}, ""Weights"": {""Max. trailer hitch load"": ""2000.0"", ""Max. permissible overall weight up to 60km/h"": ""18000.0"", ""Unladen weight (base tractor with cab - full tanks, without driver)"": ""14000.0"", ""Max. permissible overall weight up to 40 km/h country-specific exception approval required"": ""23000.0"", ""Max. permissible overall weight up to 50 km/h country-specific exception approval required"": ""23000.0""}, ""Dimensions"": {""Wheelbase"": ""3300"", ""Overall length"": ""6350"", ""Max. ground clearance"": ""600"", ""Overall width with standard tyres"": ""2750"", ""Rear track width (standard tyres)"": ""2000"", ""Front track width (standard tyres)"": ""2100"", ""Overall cab height with standard tyres with VarioGuide"": ""3650"", ""Overall cab height with standard tyres without VarioGuide"": ""3470""}, ""Transmission and PTO"": {""Top speed"": ""60"", ""Rear PTO optional"": ""1000/1000E/1300"", ""Transmission type"": ""TA 400"", ""Speed range forward"": ""0,02-60"", ""Speed range reverse"": ""0,02-33""}, ""Power lift and hydraulics"": {""Variable flow pump"": ""165"", ""Variable flow pump option 1"": ""220"", ""Variable flow pump option 2"": ""220+210"", ""Max. available hydraulic oil volume"": ""100"", ""Working pressure / control pressure"": ""200"", ""Max. lift capacity of rear power lift"": ""12920"", ""Max. lift capacity of front power lift"": ""5584"", ""Max. valves (front/centre/rear) Power Plus"": ""1/0/6"", ""Max. valves (front/centre/rear) Profi / Profi Plus"": ""1/0/6""}}}"
2016 239984-fendt1000vario-1802-en.pdf,21,1038 Vario,"{""Tyres"": {""Standard tyres"": ""710/75R42"", ""1. Optional rear tyres"": ""750/75R46"", ""Front tyres (standard)"": ""650/65R34"", ""1. Optional front tyres"": ""650/65R38""}, ""Engine"": {""Fuel level"": ""800.0"", ""AdBlue tank"": ""85.0"", ""Rated speed"": ""1700"", ""Torque rise"": ""17.0"", ""Cubic capacity"": ""12419"", ""No. of cylinders"": ""6"", ""Constant power range"": ""1500 - 1700"", ""Cylinder bore/stroke"": ""126/166"", ""Rated power ECE R 120"": ""291/396"", ""Maximum power ECE R 120"": ""291/396"", ""Max. torque at 1100-1500 rpm"": ""1910"", ""Constant power ECE R 120 from 1500 rpm to 1700 rpm"": ""291/396""}, ""Weights"": {""Max. trailer hitch load"": ""2000.0"", ""Max. permissible overall weight up to 60km/h"": ""18000.0"", ""Unladen weight (base tractor with cab - full tanks, without driver)"": ""14000.0"", ""Max. permissible overall weight up to 40 km/h country-specific exception approval required"": ""23000.0"", ""Max. permissible overall weight up to 50 km/h country-specific exception approval required"": ""23000.0""}, ""Dimensions"": {""Wheelbase"": ""3300"", ""Overall length"": ""6350"", ""Max. ground clearance"": ""600"", ""Overall width with standard tyres"": ""2750"", ""Rear track width (standard tyres)"": ""2000"", ""Front track width (standard tyres)"": ""2100"", ""Overall cab height with standard tyres with VarioGuide"": ""3650"", ""Overall cab height with standard tyres without VarioGuide"": ""3470""}, ""Transmission and PTO"": {""Top speed"": ""60"", ""Rear PTO optional"": ""1000/1000E/1300"", ""Transmission type"": ""TA 400"", ""Speed range forward"": ""0,02-60"", ""Speed range reverse"": ""0,02-33""}, ""Power lift and hydraulics"": {""Variable flow pump"": ""165"", ""Variable flow pump option 1"": ""220"", ""Variable flow pump option 2"": ""220+210"", ""Max. available hydraulic oil volume"": ""100"", ""Working pressure / control pressure"": ""200"", ""Max. lift capacity of rear power lift"": ""12920"", ""Max. lift capacity of front power lift"": ""5584"", ""Max. valves (front/centre/rear) Power Plus"": ""1/0/6"", ""Max. valves (front/centre/rear) Profi / Profi Plus"": ""1/0/6""}}"
